Submission ID,Common Name,Scientific Name,Taxonomic Order,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Number of Observers
S281346134,Black-bellied Whistling-Duck,Dendrocygna autumnalis,243,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2025-10-25,17:06:00 ,eBird - Traveling Count,2
S314159734,Black-bellied Whistling-Duck,Dendrocygna autumnalis,243,US-TX,Montgomery,L129118,W.G. Jones State Forest (UTC 036),30.235563,-95.4852676,2026-03-28,17:57:00 ,eBird - Traveling Count,2
S289207764,Trumpeter Swan,Cygnus buccinator,382,US-WA,Clark,L3402877,Salmon Creek Greenway Trail,45.7122376,-122.6851518,2025-12-19,8:59:00 ,eBird - Traveling Count,2
S296601317,Muscovy Duck (Domestic type),Cairina moschata (Domestic type),446,US-TX,Montgomery,L57722940,Hughes Landing,30.170749,-95.470512,2026-01-17,12:00:00 ,Historical,2
S314516825,Wood Duck,Aix sponsa,455,US-TX,Montgomery,L1425418,San Jacinto R. at I-45 (Montgomery Co.),30.248339,-95.4584877,2026-03-29,14:45:00 ,eBird - Traveling Count,2
S312570745,Blue-winged Teal,Spatula discors,485,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2026-03-23,18:35:00 ,eBird - Traveling Count,1
S289207764,Mallard,Anas platyrhynchos,545,US-WA,Clark,L3402877,Salmon Creek Greenway Trail,45.7122376,-122.6851518,2025-12-19,8:59:00 ,eBird - Traveling Count,2
S296601317,Mallard,Anas platyrhynchos,545,US-TX,Montgomery,L57722940,Hughes Landing,30.170749,-95.470512,2026-01-17,12:00:00 ,Historical,2
S314516825,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1868,US-TX,Montgomery,L1425418,San Jacinto R. at I-45 (Montgomery Co.),30.248339,-95.4584877,2026-03-29,14:45:00 ,eBird - Traveling Count,2
S300057008,White-winged Dove,Zenaida asiatica,2389,US-TX,Bexar,L614722,San Pedro Springs Park (HOTE 094),29.4467731,-98.5014868,2026-02-13,10:57:00 ,eBird - Traveling Count,2
S281346134,White-winged Dove,Zenaida asiatica,2389,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2025-10-25,17:06:00 ,eBird - Traveling Count,2
S281477423,White-winged Dove,Zenaida asiatica,2389,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2025-10-26,9:24:00 ,eBird - Traveling Count,2
S312570745,White-winged Dove,Zenaida asiatica,2389,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2026-03-23,18:35:00 ,eBird - Traveling Count,1
S312854498,White-winged Dove,Zenaida asiatica,2389,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2026-03-24,18:13:00 ,eBird - Traveling Count,1
S318119395,White-winged Dove,Zenaida asiatica,2389,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2026-03-30,18:00:00 ,eBird - Traveling Count,1
S318119348,White-winged Dove,Zenaida asiatica,2389,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2026-03-31,17:40:00 ,eBird - Traveling Count,1
S318119330,White-winged Dove,Zenaida asiatica,2389,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2026-04-06,18:01:00 ,eBird - Traveling Count,1
S272316146,White-winged Dove,Zenaida asiatica,2389,US-TX,Harris,L51840759,Home (private),29.932839,-95.277147,2025-09-08,18:18:00 ,eBird - Stationary Count,1
S292237383,Mourning Dove,Zenaida macroura,2412,US-TX,Harris,L54503706,Fall Creek Sports Complex,29.924665,-95.239595,2026-01-03,16:19:00 ,eBird - Traveling Count,2
S269094797,Mourning Dove,Zenaida macroura,2412,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2025-08-23,18:22:00 ,eBird - Traveling Count,2
S279245275,Mourning Dove,Zenaida macroura,2412,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2025-10-13,18:30:00 ,eBird - Traveling Count,1
S292688844,Mourning Dove,Zenaida macroura,2412,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2026-01-05,16:57:00 ,eBird - Traveling Count,1
S298682402,Mourning Dove,Zenaida macroura,2412,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2026-02-07,12:05:00 ,eBird - Traveling Count,2
S312570745,Mourning Dove,Zenaida macroura,2412,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2026-03-23,18:35:00 ,eBird - Traveling Count,1
S312854498,Mourning Dove,Zenaida macroura,2412,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2026-03-24,18:13:00 ,eBird - Traveling Count,1
S318119395,Mourning Dove,Zenaida macroura,2412,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2026-03-30,18:00:00 ,eBird - Traveling Count,1
S318119363,Mourning Dove,Zenaida macroura,2412,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2026-03-30,18:41:00 ,eBird - Traveling Count,1
S318119348,Mourning Dove,Zenaida macroura,2412,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2026-03-31,17:40:00 ,eBird - Traveling Count,1
S318119330,Mourning Dove,Zenaida macroura,2412,US-TX,Harris,L51937682,Fall Creek Subdivision,29.932926,-95.277139,2026-04-06,18:01:00 ,eBird - Traveling Count,1
S268666709,Mourning Dove,Zenaida macroura,2412,US-TX,Harris,L51840759,Home (private),29.932839,-95.277147,2025-08-21,18:35:00 ,eBird - Stationary Count,1
S272316146,Mourning Dove,Zenaida macroura,2412,US-TX,Harris,L51840759,Home (private),29.932839,-95.277147,2025-09-08,18:18:00 ,eBird - Stationary Count,1
S273078629,Mourning Dove,Zenaida macroura,2412,US-TX,Harris,L51840759,Home (private),29.932839,-95.277147,2025-09-13,7:32:00 ,eBird - Stationary Count,1
S309883569,Mourning Dove,Zenaida macroura,2412,US-TX,Harris,L128996,Jesse H. Jones County Park (UTC 038),30.024,-95.295,2026-03-15,11:22:00 ,eBird - Traveling Count,2
S311655274,Mourning Dove,Zenaida macroura,2412,US-TX,Harris,L128996,Jesse H. Jones County Park (UTC 038),30.024,-95.295,2026-03-21,10:38:00 ,eBird - Traveling Count,2
S272084069,Mourning Dove,Zenaida macroura,2412,US-TX,Montgomery,L1425418,San Jacinto R. at I-45 (Montgomery Co.),30.248339,-95.4584877,2025-09-07,12:43:00 ,eBird - Traveling Count,2
