ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Caption,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
659027073,Photo,Boat-billed Flycatcher,Megarynchus pitangua,,,Felipe Harker,2026-05-21,2026,5,21,1027,Brazil,BR-RJ-068,Rio de Janeiro,Rio de Janeiro,Parque Eduardo Guinle,-22.9309128,-43.1831111,"",,Unspecified,false,false,,,,,,,S345797347,"",,,,,Megarynchus pitangua,bobfly1,Species,17379,,.00,0,,2425,3638
659027074,Photo,Boat-billed Flycatcher,Megarynchus pitangua,,,Felipe Harker,2026-05-21,2026,5,21,1027,Brazil,BR-RJ-068,Rio de Janeiro,Rio de Janeiro,Parque Eduardo Guinle,-22.9309128,-43.1831111,"",,Unspecified,false,false,,,,,,,S345797347,"",,,,,Megarynchus pitangua,bobfly1,Species,17379,,.00,0,,2771,4157
659027075,Photo,Boat-billed Flycatcher,Megarynchus pitangua,,,Felipe Harker,2026-05-21,2026,5,21,1027,Brazil,BR-RJ-068,Rio de Janeiro,Rio de Janeiro,Parque Eduardo Guinle,-22.9309128,-43.1831111,"",,Unspecified,false,false,,,,,,,S345797347,"",,,,,Megarynchus pitangua,bobfly1,Species,17379,,.00,0,,3680,5520
659027072,Photo,Boat-billed Flycatcher,Megarynchus pitangua,,,Felipe Harker,2026-05-21,2026,5,21,1027,Brazil,BR-RJ-068,Rio de Janeiro,Rio de Janeiro,Parque Eduardo Guinle,-22.9309128,-43.1831111,"",,Unspecified,false,false,,,,,,,S345797347,"",,,,,Megarynchus pitangua,bobfly1,Species,17379,,.00,0,,2314,3471
659027053,Photo,Violaceous Euphonia,Euphonia violacea,,,Felipe Harker,2026-05-21,2026,5,21,1027,Brazil,BR-RJ-068,Rio de Janeiro,Rio de Janeiro,Parque Eduardo Guinle,-22.9309128,-43.1831111,"",,Unspecified,false,false,,,,,,,S345797347,"",,,,,Euphonia violacea,vioeup1,Species,32026,,.00,0,,2736,4104
659027054,Photo,Violaceous Euphonia,Euphonia violacea,,,Felipe Harker,2026-05-21,2026,5,21,1027,Brazil,BR-RJ-068,Rio de Janeiro,Rio de Janeiro,Parque Eduardo Guinle,-22.9309128,-43.1831111,"",,Unspecified,false,false,,,,,,,S345797347,"",,,,,Euphonia violacea,vioeup1,Species,32026,,.00,0,,2671,4006
659027052,Photo,Violaceous Euphonia,Euphonia violacea,,,Felipe Harker,2026-05-21,2026,5,21,1027,Brazil,BR-RJ-068,Rio de Janeiro,Rio de Janeiro,Parque Eduardo Guinle,-22.9309128,-43.1831111,"",,Unspecified,false,false,,,,,,,S345797347,"",,,,,Euphonia violacea,vioeup1,Species,32026,,.00,0,,1807,2711
659027030,Photo,Common Waxbill,Estrilda astrild,,,Felipe Harker,2026-05-21,2026,5,21,1027,Brazil,BR-RJ-068,Rio de Janeiro,Rio de Janeiro,Parque Eduardo Guinle,-22.9309128,-43.1831111,"",,Unspecified,false,false,,,,,,,S345797347,"",,,,,Estrilda astrild,comwax,Species,31298,,.00,0,,2293,3440
659027029,Photo,Common Waxbill,Estrilda astrild,,,Felipe Harker,2026-05-21,2026,5,21,1027,Brazil,BR-RJ-068,Rio de Janeiro,Rio de Janeiro,Parque Eduardo Guinle,-22.9309128,-43.1831111,"",,Unspecified,false,false,,,,,,,S345797347,"",,,,,Estrilda astrild,comwax,Species,31298,,.00,0,,2307,3460
659027028,Photo,Common Waxbill,Estrilda astrild,,,Felipe Harker,2026-05-21,2026,5,21,1027,Brazil,BR-RJ-068,Rio de Janeiro,Rio de Janeiro,Parque Eduardo Guinle,-22.9309128,-43.1831111,"",,Unspecified,false,false,,,,,,,S345797347,"",,,,,Estrilda astrild,comwax,Species,31298,,.00,0,,1803,2704
