npm warn exec The following package was not found and will be installed: serve@14.2.6
 INFO  Accepting connections at http://localhost:3000
 HTTP  4/30/2026 3:41:17 PM ::1 GET /
 HTTP  4/30/2026 3:41:17 PM ::1 Returned 200 in 298 ms
 HTTP  4/30/2026 3:41:17 PM ::1 GET /_next/static/media/2f13ad8e538108e0-s.p.0o52u8sd-fo14.woff2
 HTTP  4/30/2026 3:41:17 PM ::1 GET /_next/static/chunks/0e8e0elx~t9l9.css
 HTTP  4/30/2026 3:41:17 PM ::1 GET /_next/static/chunks/0u-57nno0ibv9.css
 HTTP  4/30/2026 3:41:17 PM ::1 GET /_next/static/media/80bb744e92754df7-s.p.0rwiflhz8oijx.woff2
 HTTP  4/30/2026 3:41:17 PM ::1 GET /_next/static/media/83afe278b6a6bb3c-s.p.0q-301v4kxxnr.woff2
 HTTP  4/30/2026 3:41:17 PM ::1 GET /_next/static/media/bec5c09c262b1b7f-s.p.0~fa_av65fnnq.woff2
 HTTP  4/30/2026 3:41:17 PM ::1 Returned 200 in 11 ms
 HTTP  4/30/2026 3:41:17 PM ::1 Returned 200 in 10 ms
 HTTP  4/30/2026 3:41:17 PM ::1 Returned 200 in 9 ms
 HTTP  4/30/2026 3:41:17 PM ::1 Returned 200 in 10 ms
 HTTP  4/30/2026 3:41:17 PM ::1 Returned 200 in 12 ms
 HTTP  4/30/2026 3:41:17 PM ::1 Returned 200 in 9 ms
 HTTP  4/30/2026 3:41:17 PM ::1 GET /_next/static/chunks/11kjahy2ntf0n.js
 HTTP  4/30/2026 3:41:17 PM ::1 GET /_next/static/chunks/0loz6vpbrx5_j.js
 HTTP  4/30/2026 3:41:17 PM ::1 GET /_next/static/chunks/0n~dq4kpx9xxx.js
 HTTP  4/30/2026 3:41:17 PM ::1 GET /_next/static/chunks/turbopack-17dice02pll~k.js
 HTTP  4/30/2026 3:41:17 PM ::1 GET /_next/static/chunks/0o~269zocnb95.js
 HTTP  4/30/2026 3:41:17 PM ::1 GET /_next/static/chunks/13j1vlfsw7v9t.js
 HTTP  4/30/2026 3:41:17 PM ::1 Returned 200 in 7 ms
 HTTP  4/30/2026 3:41:17 PM ::1 Returned 200 in 7 ms
 HTTP  4/30/2026 3:41:17 PM ::1 Returned 200 in 8 ms
 HTTP  4/30/2026 3:41:17 PM ::1 Returned 200 in 7 ms
 HTTP  4/30/2026 3:41:17 PM ::1 Returned 200 in 11 ms
 HTTP  4/30/2026 3:41:17 PM ::1 Returned 200 in 14 ms
 HTTP  4/30/2026 3:41:18 PM ::1 GET /_next/static/chunks/07.g1h8fic_73.js
 HTTP  4/30/2026 3:41:18 PM ::1 Returned 200 in 13 ms
 HTTP  4/30/2026 3:41:18 PM ::1 GET /_next/static/chunks/0p8mjcq7re3sl.js
 HTTP  4/30/2026 3:41:18 PM ::1 Returned 200 in 9 ms
 HTTP  4/30/2026 4:15:54 PM ::1 GET /
 HTTP  4/30/2026 4:15:54 PM ::1 Returned 200 in 87 ms
 HTTP  4/30/2026 4:15:54 PM ::1 GET /_next/static/media/2f13ad8e538108e0-s.p.0o52u8sd-fo14.woff2
 HTTP  4/30/2026 4:15:54 PM ::1 GET /_next/static/chunks/0o76y5x52fsiu.css
 HTTP  4/30/2026 4:15:54 PM ::1 GET /_next/static/chunks/0u-57nno0ibv9.css
 HTTP  4/30/2026 4:15:54 PM ::1 GET /_next/static/media/80bb744e92754df7-s.p.0rwiflhz8oijx.woff2
 HTTP  4/30/2026 4:15:54 PM ::1 GET /_next/static/media/83afe278b6a6bb3c-s.p.0q-301v4kxxnr.woff2
 HTTP  4/30/2026 4:15:54 PM ::1 GET /_next/static/media/bec5c09c262b1b7f-s.p.0~fa_av65fnnq.woff2
 HTTP  4/30/2026 4:15:54 PM ::1 Returned 200 in 39 ms
 HTTP  4/30/2026 4:15:54 PM ::1 Returned 200 in 40 ms
 HTTP  4/30/2026 4:15:54 PM ::1 Returned 200 in 44 ms
 HTTP  4/30/2026 4:15:54 PM ::1 Returned 200 in 33 ms
 HTTP  4/30/2026 4:15:54 PM ::1 Returned 200 in 34 ms
 HTTP  4/30/2026 4:15:54 PM ::1 Returned 200 in 31 ms
 HTTP  4/30/2026 4:15:54 PM ::1 GET /_next/static/chunks/11kjahy2ntf0n.js
 HTTP  4/30/2026 4:15:54 PM ::1 Returned 200 in 13 ms
 HTTP  4/30/2026 4:15:54 PM ::1 GET /_next/static/chunks/0loz6vpbrx5_j.js
 HTTP  4/30/2026 4:15:54 PM ::1 GET /_next/static/chunks/0n~dq4kpx9xxx.js
 HTTP  4/30/2026 4:15:54 PM ::1 GET /_next/static/chunks/turbopack-17dice02pll~k.js
 HTTP  4/30/2026 4:15:54 PM ::1 GET /_next/static/chunks/0o~269zocnb95.js
 HTTP  4/30/2026 4:15:54 PM ::1 GET /_next/static/chunks/13j1vlfsw7v9t.js
 HTTP  4/30/2026 4:15:54 PM ::1 GET /_next/static/chunks/0h.3l8hidtjy2.js
 HTTP  4/30/2026 4:15:54 PM ::1 Returned 200 in 53 ms
 HTTP  4/30/2026 4:15:54 PM ::1 Returned 200 in 55 ms
 HTTP  4/30/2026 4:15:54 PM ::1 Returned 200 in 53 ms
 HTTP  4/30/2026 4:15:54 PM ::1 Returned 200 in 70 ms
 HTTP  4/30/2026 4:15:54 PM ::1 Returned 200 in 74 ms
 HTTP  4/30/2026 4:15:54 PM ::1 Returned 200 in 52 ms
 HTTP  4/30/2026 4:15:54 PM ::1 GET /_next/static/chunks/0p8mjcq7re3sl.js
 HTTP  4/30/2026 4:15:54 PM ::1 Returned 200 in 29 ms
 HTTP  4/30/2026 4:30:36 PM ::1 GET /
 HTTP  4/30/2026 4:30:36 PM ::1 Returned 200 in 131 ms
 HTTP  4/30/2026 4:30:36 PM ::1 GET /_next/static/media/2f13ad8e538108e0-s.p.0o52u8sd-fo14.woff2
 HTTP  4/30/2026 4:30:36 PM ::1 GET /_next/static/chunks/0_40nje2nbxru.css
 HTTP  4/30/2026 4:30:36 PM ::1 GET /_next/static/chunks/0u-57nno0ibv9.css
 HTTP  4/30/2026 4:30:36 PM ::1 GET /_next/static/media/80bb744e92754df7-s.p.0rwiflhz8oijx.woff2
 HTTP  4/30/2026 4:30:36 PM ::1 GET /_next/static/media/83afe278b6a6bb3c-s.p.0q-301v4kxxnr.woff2
 HTTP  4/30/2026 4:30:36 PM ::1 GET /_next/static/media/bec5c09c262b1b7f-s.p.0~fa_av65fnnq.woff2
 HTTP  4/30/2026 4:30:36 PM ::1 Returned 200 in 23 ms
